repo,oldfolder,newfolder
0002,ms_coll_700_item54,mscoll700_item54
0002,ms_coll_700_item55,mscoll700_item55
0002,ms_coll_700_item56,mscoll700_item56
0002,ms_coll_700_item57,mscoll700_item57
0002,ms_coll_700_item60,mscoll700_item60
0002,ms_coll_700_item61,mscoll700_item61
0002,ms_coll_700_item64,mscoll700_item64
0002,ms_coll_700_item65,mscoll700_item65
0002,ms_coll_700_item66,mscoll700_item66
0002,ms_coll_700_item67,mscoll700_item67
0002,ms_coll_700_item68,mscoll700_item68
0002,ms_coll_700_item69,mscoll700_item69
0002,ms_coll_700_item71and74,mscoll700_item71_item74
0002,ms_coll_700_item75,mscoll700_item75
0002,ms_coll_700_item77,mscoll700_item77
0002,ms_coll_700_item8,mscoll700_item8
0002,ms_coll_700_item81,mscoll700_item81
0002,ms_coll_700_item83,mscoll700_item83
0002,ms_coll_700_item87,mscoll700_item87
0002,ms_coll_700_item89,mscoll700_item89
0002,ms_coll_700_item90,mscoll700_item90
0002,ms_coll_700_item92,mscoll700_item92
0002,ms_coll_700_item93,mscoll700_item93
0002,ms_coll_700_item94,mscoll700_item94
0002,ms_coll_700_item95,mscoll700_item95
0002,ms_coll_700_item96,mscoll700_item96
0002,msbox23_folder26,miscmss_box23_f26
0002,mscodex_1998,mscodex1998
0002,mscodex_2009,mscodex2009
0002,mscodex_39,mscodex39
0008,Mss003044,MSS003044
0013,973.781Sn62_v01,973_781_Sn62_v01
0013,973.781Sn62_v02,973_781_Sn62_v02
0013,973.781Sn62_v03,973_781_Sn62_v03
0013,973.781Sn62_v04,973_781_Sn62_v04
0030,MSS_BH_005_COCH,spc_mss_bh_005_coch
0030,MSS_BH_007_COCH,spc_mss_bh_007_coch
0030,MSS_BH_056_COCH,spc_mss_bh_056_coch
0030,MSS_BH_057_COCH,spc_mss_bh_057_coch
0030,MSS_BH_100_COCH,spc_mss_bh_100_coch
0030,MSS_BH_19_COCH,spc_mss_bh_019_coch
0030,MSS_LT_055,spc_mss_lt_055
0030,SCRC_311,scrc331
0030,SPC_MSS_BH_036_COCH,spc_mss_bh_036_coch
0043,Mss_494_9_T84,ms_494_9_t84
