Key,repo,Path extension,Priority,Group,Repo Name,size,size_gb,folder,In Glacier,Size in Glacier,STATUS,Notes
0023_lewis_e_m_003_001,0023,,1,A,"Free Library of Philadelphia, Special Collections","20,975",0.02,lewis_e_m_003_001,0023_lewis_e_m_003_001,0.02,Fall 2019 batch,
0023_lewis_e_m_003_003,0023,,1,A,"Free Library of Philadelphia, Special Collections","21,341",0.02,lewis_e_m_003_003,0023_lewis_e_m_003_003,0.02,Fall 2019 batch,
0023_lewis_e_m_010_007,0023,,1,A,"Free Library of Philadelphia, Special Collections","21,381",0.02,lewis_e_m_010_007,0023_lewis_e_m_010_007,0.02,Fall 2019 batch,
0023_lewis_e_m_005_011,0023,,1,A,"Free Library of Philadelphia, Special Collections","21,619",0.021,lewis_e_m_005_011,0023_lewis_e_m_005_011,0.021,Fall 2019 batch,
0023_lewis_e_m_027_017,0023,,1,A,"Free Library of Philadelphia, Special Collections","21,926",0.021,lewis_e_m_027_017,0023_lewis_e_m_027_017,0.021,Fall 2019 batch,
0023_lewis_e_m_003_002,0023,,1,A,"Free Library of Philadelphia, Special Collections","22,017",0.021,lewis_e_m_003_002,0023_lewis_e_m_003_002,0.021,Fall 2019 batch,
0023_lewis_e_m_015_013,0023,,1,A,"Free Library of Philadelphia, Special Collections","22,036",0.021,lewis_e_m_015_013,0023_lewis_e_m_015_013,0.021,Fall 2019 batch,
0023_lewis_e_m_003_004,0023,,1,A,"Free Library of Philadelphia, Special Collections","22,118",0.021,lewis_e_m_003_004,0023_lewis_e_m_003_004,0.021,Fall 2019 batch,
0023_lewis_e_m_015_014,0023,,1,A,"Free Library of Philadelphia, Special Collections","23,051",0.022,lewis_e_m_015_014,0023_lewis_e_m_015_014,0.022,Fall 2019 batch,
0023_lewis_e_m_027_026,0023,,1,A,"Free Library of Philadelphia, Special Collections","23,155",0.022,lewis_e_m_027_026,0023_lewis_e_m_027_026,0.022,Fall 2019 batch,
0023_lewis_e_m_015_011,0023,,1,A,"Free Library of Philadelphia, Special Collections","23,252",0.022,lewis_e_m_015_011,0023_lewis_e_m_015_011,0.022,Fall 2019 batch,
0023_lewis_e_m_023_011,0023,,1,A,"Free Library of Philadelphia, Special Collections","23,398",0.022,lewis_e_m_023_011,0023_lewis_e_m_023_011,0.022,Fall 2019 batch,
0023_lewis_e_m_008_004,0023,,1,A,"Free Library of Philadelphia, Special Collections","23,776",0.023,lewis_e_m_008_004,0023_lewis_e_m_008_004,0.023,Fall 2019 batch,
0023_lewis_e_m_008_003,0023,,1,A,"Free Library of Philadelphia, Special Collections","23,831",0.023,lewis_e_m_008_003,0023_lewis_e_m_008_003,0.023,Fall 2019 batch,
0023_lewis_e_m_015_012,0023,,1,A,"Free Library of Philadelphia, Special Collections","23,873",0.023,lewis_e_m_015_012,0023_lewis_e_m_015_012,0.023,Fall 2019 batch,
0023_lewis_e_m_015_008,0023,,1,A,"Free Library of Philadelphia, Special Collections","23,974",0.023,lewis_e_m_015_008,0023_lewis_e_m_015_008,0.023,Fall 2019 batch,
0023_lewis_e_m_012_003,0023,,1,A,"Free Library of Philadelphia, Special Collections","23,977",0.023,lewis_e_m_012_003,0023_lewis_e_m_012_003,0.023,Fall 2019 batch,
0023_lewis_e_m_043_002c,0023,,1,A,"Free Library of Philadelphia, Special Collections","24,005",0.023,lewis_e_m_043_002c,0023_lewis_e_m_043_002c,0.023,Fall 2019 batch,
0023_lewis_e_m_043_001g,0023,,1,A,"Free Library of Philadelphia, Special Collections","24,032",0.023,lewis_e_m_043_001g,0023_lewis_e_m_043_001g,0.023,Fall 2019 batch,
0023_lewis_e_m_003_009,0023,,1,A,"Free Library of Philadelphia, Special Collections","24,056",0.023,lewis_e_m_003_009,0023_lewis_e_m_003_009,0.023,Fall 2019 batch,
0023_lewis_e_m_027_006,0023,,1,A,"Free Library of Philadelphia, Special Collections","24,114",0.023,lewis_e_m_027_006,0023_lewis_e_m_027_006,0.023,Fall 2019 batch,
0023_lewis_e_m_025_010,0023,,1,A,"Free Library of Philadelphia, Special Collections","24,617",0.023,lewis_e_m_025_010,0023_lewis_e_m_025_010,0.023,Fall 2019 batch,
0023_lewis_e_m_015_010,0023,,1,A,"Free Library of Philadelphia, Special Collections","24,623",0.023,lewis_e_m_015_010,0023_lewis_e_m_015_010,0.023,Fall 2019 batch,
0023_lewis_e_m_003_024,0023,,1,A,"Free Library of Philadelphia, Special Collections","24,669",0.024,lewis_e_m_003_024,0023_lewis_e_m_003_024,0.024,Fall 2019 batch,
0023_lewis_e_m_003_012,0023,,1,A,"Free Library of Philadelphia, Special Collections","24,861",0.024,lewis_e_m_003_012,0023_lewis_e_m_003_012,0.024,Fall 2019 batch,
0023_lewis_e_m_003_016,0023,,1,A,"Free Library of Philadelphia, Special Collections","24,870",0.024,lewis_e_m_003_016,0023_lewis_e_m_003_016,0.024,Fall 2019 batch,
0023_lewis_e_m_033_016,0023,,1,A,"Free Library of Philadelphia, Special Collections","25,102",0.024,lewis_e_m_033_016,0023_lewis_e_m_033_016,0.024,Fall 2019 batch,
0023_lewis_e_m_024_011,0023,,1,A,"Free Library of Philadelphia, Special Collections","25,391",0.024,lewis_e_m_024_011,0023_lewis_e_m_024_011,0.024,Fall 2019 batch,
