Key,repo,Path extension,Priority,Group,Repo Name,size,size_gb,folder,STATUS,Notes
0023_lewis_t234,0023,,1,A,"Free Library of Philadelphia, Special Collections","31,990",0.031,lewis_t234,,
0023_lewis_e_m_003_027,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,055",0.031,lewis_e_m_003_027,,
0023_lewis_e_m_003_010,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,155",0.031,lewis_e_m_003_010,,
0023_lewis_e_m_032_009,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,159",0.031,lewis_e_m_032_009,,
0023_lewis_e_m_003_011,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,173",0.031,lewis_e_m_003_011,,
0023_lewis_e_m_003_026,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,182",0.031,lewis_e_m_003_026,,
0023_lewis_e_m_019_017,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,232",0.031,lewis_e_m_019_017,,
0023_lewis_e_m_009_026,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,295",0.031,lewis_e_m_009_026,,
0023_lewis_e_m_009_022,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,341",0.031,lewis_e_m_009_022,,
0023_lewis_e_m_003_025,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,356",0.031,lewis_e_m_003_025,,
0023_lewis_t215,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,402",0.031,lewis_t215,,
0023_lewis_e_m_019_018,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,515",0.031,lewis_e_m_019_018,,
0023_lewis_e_m_003_006,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,557",0.031,lewis_e_m_003_006,,
0023_lewis_e_m_011_026,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,670",0.031,lewis_e_m_011_026,,
0023_lewis_e_m_010_010,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,679",0.031,lewis_e_m_010_010,,
0023_lewis_e_m_003_020,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,685",0.031,lewis_e_m_003_020,,
0023_lewis_e_m_024_031,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,008",0.031,lewis_e_m_024_031,,
0023_lewis_e_m_019_007,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,054",0.032,lewis_e_m_019_007,,
0023_lewis_e_m_003_007,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,060",0.032,lewis_e_m_003_007,,
0023_lewis_e_m_011_001,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,063",0.032,lewis_e_m_011_001,,
0023_lewis_e_m_027_024,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,078",0.032,lewis_e_m_027_024,,
0023_lewis_e_m_031_009,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,091",0.032,lewis_e_m_031_009,,
0023_lewis_e_m_003_022,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,270",0.032,lewis_e_m_003_022,,
0023_lewis_e_m_003_014,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,462",0.032,lewis_e_m_003_014,,
0023_lewis_e_m_011_015b,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,520",0.032,lewis_e_m_011_015b,,
0023_lewis_e_m_003_021,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,617",0.032,lewis_e_m_003_021,,
0023_lewis_e_m_003_008,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,782",0.032,lewis_e_m_003_008,,
0023_lewis_e_m_013_019,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,886",0.032,lewis_e_m_013_019,,
0023_lewis_e_m_033_020,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,995",0.032,lewis_e_m_033_020,,
0023_lewis_e_m_019_006,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,996",0.032,lewis_e_m_019_006,,
0023_lewis_e_m_013_005,0023,,1,A,"Free Library of Philadelphia, Special Collections","34,068",0.032,lewis_e_m_013_005,,
