repo,Path extension,Priority,Group,Repo Name,size,size_gb,folder,STATUS,Notes
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",277101,0.264,ljs180_item21,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",283823,0.271,ljs45,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",284444,0.271,ljs196,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",297053,0.283,ljs271,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",354442,0.338,ljs180_item18,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",365562,0.349,ljsmisc6,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",388683,0.371,ljs180_item17,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",393544,0.375,ljs180_item7,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",408770,0.39,ljs185,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",433442,0.413,ljs180_item15,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",462895,0.441,ljs180_item10,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",467716,0.446,ljs180_item19,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",504115,0.481,ljs383,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",511379,0.488,ljs180_item5,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",511836,0.488,ljs35,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",541057,0.516,ljs180_item2,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",566596,0.54,ljs358,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",601469,0.574,ljs409,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",661163,0.631,ljs460,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",704341,0.672,ljs319,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",807280,0.77,ljs41,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",844906,0.806,ljs465,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",849066,0.81,ljs492,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",859338,0.82,ljs197,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",880194,0.839,ljs182,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",946902,0.903,ljs198,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",958145,0.914,ljs167,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",966981,0.922,ljs501,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",1020238,0.973,ljs487,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",1139652,1.087,ljs226,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",1157248,1.104,ljs187,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",1213292,1.157,ljs28,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",1281837,1.222,ljs181,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",1339647,1.278,ljs420,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",1360981,1.298,ljs488,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",1394234,1.33,ljs242,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",1410750,1.345,ljs434,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",1505065,1.435,ljs217,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",1543344,1.472,ljs469,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",1569924,1.497,ljs462,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",1695426,1.617,ljs429,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",1744998,1.664,ljs178,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",1784198,1.702,ljs418,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",1793499,1.71,ljs295,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",1815060,1.731,ljs467,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",1855749,1.77,ljs379,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",1879853,1.793,ljs312,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",2167547,2.067,ljs388,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",2316816,2.209,ljs494,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",2344921,2.236,ljs209,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",2367853,2.258,ljs289,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",2463788,2.35,ljs359,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",2514323,2.398,ljs430,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",2609451,2.489,ljs456,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",2641277,2.519,ljs175,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",2661396,2.538,ljs496,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",2787160,2.658,ljs208,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",2790706,2.661,ljs421,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",2918191,2.783,ljs347,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",3006541,2.867,ljs412,,
