size,folder
5606400,asu3740
4226426,asu3970
3706490,asu4006
584862,cajs_rarms125
42765031,cajs_rarms126
347767,cajs_rarms13
28294497,cajs_rarms132
28229909,cajs_rarms137
29710845,cajs_rarms142
108250304,cajs_rarms143
22411481,cajs_rarms147
33537781,cajs_rarms159
2136535,cajs_rarms205
14097021,cajs_rarms207
14784316,cajs_rarms211
25127279,cajs_rarms214
20962849,cajs_rarms216
35052567,cajs_rarms228
43364500,cajs_rarms242
26757176,cajs_rarms26
26864125,cajs_rarms28
48733779,cajs_rarms280
15216445,cajs_rarms30
18080467,cajs_rarms303
49391667,cajs_rarms364
293298,cajs_rarms38
83573945,cajs_rarms382
169567729,cajs_rarms395
293365,cajs_rarms400
483992,cajs_rarms415
288439,cajs_rarms416
367158,cajs_rarms419
460118,cajs_rarms445
624594,cajs_rarms446
489570,cajs_rarms447
1409118,cajs_rarms448
3949363,folio_inc_p762
87459,h001
323454,h002
156059,h003
327780,h004
250281,h005
115467,h006
235499,h007
61212,h008
167796,h009
395552,h010
26006,h012
84607,h014
58026,h015
228565,h016
51491,h017
50463,h018
198343,h019
766386,h020
404745,h021
75375,h022
214641,h023
302455,h024
67898,h025
67970,h026
67020,h027
351777,h028
236130,h029
67632,h030
85950,h031
140511,h032
483930,h033
87835,h034
249896,h035
32771,h036
92276,h037
77294,h038
184138,h039
278297,h040
343387,h041
56124,h042
181387,h043
110374,h044
69982,h045
44177,h046
135528,h047
213590,h048
164413,h049
119295,h050
32633,h051
34790,h052
54415,h053
62066,h054
164898,h055
260710,h056
104201,h057
59699,h058
272062,h059
175546,h061
136279,h062
271779,h063
72798,h064
158656,h065
216350,h066
110746,h067
119250,h068
115090,h069
138052,h070
108317,h071
157152,h072
68273,h073
73665,h074
87467,h075
99671,h076
63447,h077
79798,h078
57760,h079
95182,h080
443239,h081
47916,h082
329383,h083
311907,h084
729055,h085
120566,h086
84908,h087
179888,h088
179431,h089
53199,h090
33657,h091
46417,h092
35641,h093
44579,h094
181277,h095
96132,h096
955005,h097
69361,h098
142804,h099
204687,h100
108994,h101
80475,h102
356795,h103
1411911,h104
1407461,h105
1551628,h106
197657,h107
31920,h108
66974,h109
133853,h110
133984,h111
91608,h112
94068,h113
155309,h114
185272,h115
2722668,h116
188325,h117
63145,h118
182960,h119
112741,h120
3576489,h121
133021,h122
115324,h123
117409,h124
94067,h125
121147,h126
158460,h127
126169,h128
106919,h129
1302871,h130
84250,h131
126708,h132
289623,h133
50009,h134
97678,h135
91440,h136
96258,h137
72971,h138
185160,h139
188980,h140
46024,h141
72724,h142
89917,h143
89469,h144
65677,h145
126795,h146
95183,h147
101754,h148
61545,h149
65238,h150
44077,h151
71343,h152
138408,h153
198425,h154
794472,h155
153925,h156
272717,h157
166442,h158
153445,h159
89195,h160
53017,h161
174309,h162
127650,h163
90584,h164
226420,h165
239628,h166
147929,h167
104423,h168
78259,h169
118408,h170
132394,h171
81632,h172
98871,h173
119621,h174
58811,h175
35960,h176
397749,h177
42962,h178
39452,h179
100206,h180
404106,h181
143505,h182
64369,h183
69360,h184
67056,h185
83254,h186
70356,h187
58753,h188
40467,h189
38657,h190
62523,h191
49479,h192
160498,h193
70161,h194
101315,h195
64963,h196
166513,h197
61892,h198
60018,h199
210780,h200
37953,h201
133907,h202
45119,h204
139729,h205
147426,h206
57121,h207
43483,h208
266550,h209
40737,h210
434985,h211
140187,h212
172335,h213
79877,h214
76257,h215
66249,h216
135397,h217
148660,h218
136220,h219
81901,h220
67815,h221
89149,h222
121614,h223
277909,h224
95785,h225
88116,h226
130936,h227
104621,h228
126567,h229
106193,h230
70347,h231
67651,h232
153670,h233
94981,h234
137080,h235
189967,h236
43346,h237
144778,h238
194035,h239
160223,h240
644421,h241
155159,h242
90383,h243
67483,h244
75785,h245
127427,h246
234067,h247
101599,h248
75457,h249
181027,h250
224156,h251
2004871,h252
1049066,h253
105545,h254
102897,h255
225396,h256
110593,h257
177115,h258
126531,h259
91508,h260
154420,h261
213842,h262
175232,h263
27641,h264
127392,h265
94813,h266
92346,h267
79257,h268
132774,h269
46752,h270
155918,h271
88308,h272
148048,h273
82939,h274
2104356,h275
156485,h276
183130,h277
148230,h278
98579,h279
156503,h280
121184,h281
349337,h282
72367,h283
102930,h284
71325,h285
80776,h286
175022,h287
81947,h288
60338,h289
51234,h290
85521,h291
86431,h292
52167,h293
188060,h294
55630,h295
203654,h296
147811,h297
61075,h298
78927,h299
184875,h300
239530,h301
40970,h302
91645,h303
68863,h304
66560,h305
85520,h306
38608,h307
82851,h308
90675,h309
157512,h310
43053,h311
97760,h312
190963,h313
184090,h314
170607,h315
55116,h316
194729,h317
267100,h318
278498,h319
59991,h320
37990,h321
175476,h322
107422,h323
60201,h324
95063,h325
156101,h326
79798,h327
117784,h328
165022,h329
46426,h330
39269,h331
76916,h332
314302,h333
149468,h334
196515,h335
141123,h336
93171,h337
163417,h339
92084,h340
135538,h341
84927,h342
149578,h343
127887,h344
71673,h345
232529,h346
66911,h348
183435,h349
22642,h350
116645,h351
43154,h352
88665,h353
80896,h354
49653,h355
113061,h356
152192,h357
56078,h358
151442,h359
115666,h360
53236,h361
450474,h362
118473,h363
46243,h364
124716,h365
81160,h366
81160,h367
112083,h368
57322,h369
213952,h370
96572,h371
489737,h372
151631,h373
193938,h374
79137,h375
137985,h376
78409,h377
150182,h378
158143,h379
98811,h380
137951,h381
173517,h382
88628,h383
55220,h384
78683,h385
116608,h386
98902,h387
55978,h388
504280,h389
79771,h390
25421,h391
180108,h392
249009,h393
197018,h394
143216,h395
164834,h396
122988,h397
64790,h398
92861,h399
172100,h400
156671,h401
128733,h402
38502,h403
47514,h404
51892,h405
181451,h406
96407,h407
219610,h408
96224,h409
67806,h410
179998,h411
169212,h412
97056,h413
109386,h414
148893,h415
209541,h416
51948,h417
39297,h418
114597,h419
181734,h420
74680,h421
65010,h422
114048,h423
46390,h424
45229,h425
172293,h426
308155,h427
158819,h428
129944,h429
127696,h430
142812,h431
112426,h432
123382,h433
77075,h434
215716,h435
2715574,h436
69085,h437
547902,h438
4451553,h439
135191,h440
107605,h442
127024,h443
286466,h444
90822,h445
82806,h446
142381,h447
174760,h448
106891,h450
91160,h451
47477,h452
265134,h453
587021,h454
46253,h455
130827,h456
132659,h457
64689,h458
73501,h459
151193,h460
102842,h461
97815,h462
55275,h463
49954,h464
79689,h465
279034,h466
111170,h467
203495,h468
100585,h469
39384,h470
645411,h471
211872,h472
87239,h473
135282,h474
120959,h475
41838,h476
94127,h477
50028,h478
26106,h479
64424,h480
52129,h481
115874,h483
76864,h484
102409,h485
27569,h487
35903496,html
13377280,ljs_422
151315,miscmss1
151727,miscmss13
1335811,miscmss17
51683,miscmss22
209349,miscmss25
618903,miscmss27
2601554,miscmss28
251521,miscmss29
222657,miscmss30
890774,miscmss_alexandervi
216835,miscmss_armellinimedici
362896,miscmss_artedellalana
291511,miscmss_auzina
96445,miscmss_balbi
79461,miscmss_berry
51189,miscmss_bethencourt
85768,miscmss_bonyngton
902554,miscmss_borgia
490355,misc_mss_box23_fldr24
581854,misc_mss_box24_fldr3
295446,misc_mss_box24_fldr4
601182,miscmss_brooke
404019,miscmss_carafa
203645,miscmss_carteron
499947,miscmss_catholicchurch
143994,miscmss_claustris
107989,miscmss_clementvii
66207,miscmss_davenport
515257,miscmss_dellarovere
50531,miscmss_dronfeld
173043,miscmss_ernst
126563,miscmss_falconieri
1636014,miscmss_farnese_a
309189,miscmss_farnese_r
706163,miscmss_ferdinand
236749,miscmss_florence
120100,miscmss_foscarini
78218,miscmss_gerbel
95420,miscmss_goussen
585393,miscmss_gracia
169276,miscmss_grimaldi
131188,miscmss_guidiccioni
222264,miscmss_joanofaragon
365322,miscmsslarge2
509685,miscmsslarge3
284257,MiscMssLargeB1F14
435762,MiscMssLargeB1F2
190666,miscmsslarge_beraldus
251394,miscmsslarge_biblentjohn
203700,miscmsslarge_bicknacre
172311,miscmsslarge_bingham
413078,miscmsslarge_box2_f25
194907,miscmsslarge_box3f8
344807,miscmsslarge_box3f9
207402,miscmsslarge_bremlen
418145,miscmsslarge_burdet
205931,miscmsslarge_catholicchurchbreviary
204514,miscmsslarge_catholicchurchgradual
444397,miscmsslarge_catholicchurchmissal
120923,miscmsslarge_cavaciis
454156,miscmsslarge_charlesix
174231,miscmsslarge_cistercianmissal
263019,miscmsslarge_cnipius
211497,miscmsslarge_coptic
261246,miscmsslarge_decretales
162860,miscmsslarge_girardi
155209,miscmsslarge_gregoryxi
258778,miscmsslarge_martinuzzi
300030,miscmsslarge_privycouncil
177412,miscmsslarge_rolet
300012,miscmsslarge_rudolf
220986,miscmsslarge_samuel
181314,miscmsslarge_samuellord
226067,miscmsslarge_torelli
166470,miscmsslarge_villabalzana
97249,miscmss_lee
151274,miscmss_lempereur
86855,miscmss_love
85384,miscmss_luscinius
181689,miscmss_maliers
178472,miscmss_marano
395308,miscmss_maximilianII
251639,miscmss_milan
110073,miscmss_orthodoxeasternchurch
155831,miscmss_paulus
125036,miscmss_paz
152302,miscmss_pistoia
208527,miscmss_plantagenet
114278,miscmss_pucci
229187,miscmss_rubeus
115447,miscmss_vinnen
112056,miscmss_volpe
29066647,mscodex1
20058638,mscodex10
5657645,mscodex100
31051140,mscodex1000
30121804,mscodex1000_v2
29191560,mscodex1000_v3
24377970,mscodex1000_v4
30579160,mscodex1000_v5
50570563,mscodex1000_v6
53596283,mscodex1000_v7
12516717,mscodex1001
44881067,mscodex1002
20161904,mscodex1003
5601762,mscodex1005
43150798,mscodex1006
41107079,mscodex1007
31980807,mscodex1008
21277786,mscodex1009
4069044,mscodex101
9152874,mscodex1010
25198914,mscodex1011
49264021,mscodex1012
35516363,mscodex1013
7897643,mscodex1015
16831355,mscodex1016
4920768,mscodex1017
52054065,mscodex1018
17172203,mscodex1019
9130074,mscodex102
28036897,mscodex1020
1592821,mscodex1021
13812263,mscodex1022
19480773,mscodex1023
14284267,mscodex1026
16417180,mscodex1027
22103893,mscodex1028
4614546,mscodex103
816814,mscodex1030
6258148,mscodex1031
46813075,mscodex1032
49959641,mscodex1033
10553800,mscodex1034
12457585,mscodex1035
708045,mscodex1036
8341916,mscodex1037
13374646,mscodex1038
3906324,mscodex104
31775857,mscodex1040
10589147,mscodex1041
24953137,mscodex1042
7987749,mscodex1043
24263800,mscodex1044
6502264,mscodex1045
9055992,mscodex1046
2000801,mscodex1047
2569978,mscodex1048
17922022,mscodex1049
5166348,mscodex105
27457293,mscodex1050
90057994,mscodex1051
59847738,mscodex1052
42381712,mscodex1053
1140717,mscodex1054
506496,mscodex1055
13600369,mscodex1056
17110916,mscodex1057
7453545,mscodex1058
53505396,mscodex1059
8339469,mscodex106
13335757,mscodex1060
12487410,mscodex1061
7825465,mscodex1062
7341619,mscodex1063
14105061,mscodex1064
31870733,mscodex1065
28229050,mscodex1068
12053980,mscodex1069
8488862,mscodex107
1566956,mscodex1070
11551078,mscodex1071
18794769,mscodex1072
14953220,mscodex1073
5018405,mscodex1074
4071489,mscodex1075
124892826,mscodex1076
35018834,mscodex1077
23806849,mscodex1078
31927152,mscodex1079
5772983,mscodex108
13057501,mscodex1080
10878114,mscodex1081
805421,mscodex1082
49137211,mscodex1083
35564393,mscodex1084
943171,mscodex1085
509476,mscodex1086
3117090,mscodex1087
9959591,mscodex1088
20951746,mscodex1089
24500923,mscodex109
3484948,mscodex1090
5566160,mscodex1091
23718535,mscodex1092
46664138,mscodex1093
11021632,mscodex1094
71444380,mscodex1095
3798511,mscodex1096
40560721,mscodex1097
20795394,mscodex1098
1428148,mscodex1099
6797610,mscodex110
19454088,mscodex1100
18917391,mscodex1101
28771154,mscodex1102
7729611,mscodex1103
40290568,mscodex1104
25556532,mscodex1105
58969849,mscodex1106
3586285,mscodex1107
35377915,mscodex1108
906729,mscodex1109
14556121,mscodex111
1217916,mscodex1110
6560360,mscodex1111
7397104,mscodex1112
16257287,mscodex1113
1249967,mscodex1114
17020152,mscodex1115
894556,mscodex1116
31386338,mscodex1117
23695845,mscodex1118
57313724,mscodex1119
4119727,mscodex112
42008998,mscodex1120
28348063,mscodex1121
7696440,mscodex1122
40793430,mscodex1123
1317968,mscodex1124
2448108,mscodex1125
1225390,mscodex1126
22432400,mscodex1128
39258687,mscodex1129
4398951,mscodex113
46032163,mscodex1130
45694095,mscodex1131
12994086,mscodex1132
4145752,mscodex1133
6816523,mscodex1134
15242367,mscodex1135
7336646,mscodex1136
27689026,mscodex1137
35610031,mscodex1138
31254143,mscodex1139
11116812,mscodex114
2400984,mscodex1140
1071335,mscodex1141
13745132,mscodex1142
48103477,mscodex1143
10188015,mscodex1145
7852019,mscodex1146
7941578,mscodex1147
