size_kb,folder
3654058,1882_983
76814739,1883_53
10884032,1923_17_1
13683018,1924_19_1
30456625,1933_36_1
66048807,1945_65_1
12900972,1945_65_10
10951722,1945_65_11
16944007,1945_65_12
18737895,1945_65_13
20161124,1945_65_14
13786455,1945_65_15
12311147,1945_65_16
67735081,1945_65_17
4948500,1945_65_19
64446302,1945_65_2
10486738,1945_65_20
68752414,1945_65_3
25505935,1945_65_4
42009113,1945_65_5
21894450,1945_65_6
39360382,1945_65_7
19835517,1945_65_8
14971326,1945_65_9
10349870,1949_83_1
13327038,1953_128_7
19867383,1967_30_120
21394076,1967_30_121
21974812,1967_30_122
184607514,2017_232_1
2615,html
