size,folder
2126421,2003_42_13
5507491,2003_42_7
692558,2003_42_8E
2901005,2003_72_254b
277195,2003_82_443
3955309,2003_82_445
514135,2006_24_1
776299,2006_24_2
7107457,29_170_11
2491776,29_170_12
36760174,29_201_705
34942071,29_201_706
37226850,29_201_707
12902589,29_201_708
10156569,29_201_709
58215658,29_201_710
29288085,29_201_711
3139771,51_9_1
2351823,51_9_11
1219576,51_9_12
1031011,51_9_2
1734254,51_9_3
3038834,51_9_4
1248394,51_9_5
1033050,51_9_6
894230,51_9_7
1174466,51_9_8
1374817,51_9_9
60201006,73_14_1
7816688,77_5_5
421217,82_7_53
5696095,82_7_54
12837475,83_23_1
851957,84_24_1
24037607,87_13_151
12422208,87-3-1
9351473,87-3-2
422021,89_13_250
310968,89_13_327
308583,89_13_328
203335,89_13_333
200253,89_13_334
203234,89_13_335
458753,89_13_395
422438,89_13_414
388527,89_13_415
376973,89_13_416
390683,89_13_417
10733310,94_18_1
1621863,95_21_34
3228737,97_122_246
1718,html
841397,NEP17
13513433,NEP26
49712357,NEP33
11056429,NEP80
