size,folder
56214,lewis_e_m_001_015a
67581,lewis_e_m_001_016
184588,lewis_e_m_001_017
63768,lewis_e_m_001_018
179983,lewis_e_m_001_019
243362,lewis_e_m_001_020
222850,lewis_e_m_001_021
220583,lewis_e_m_001_022
54147,lewis_e_m_001_023
169194,lewis_e_m_001_024
170447,lewis_e_m_001_025
199175,lewis_e_m_001_026
236634,lewis_e_m_001_027
129012,lewis_e_m_001_028
125456,lewis_e_m_001_029
96307,lewis_e_m_002_001
103519,lewis_e_m_002_002
106023,lewis_e_m_002_003
117806,lewis_e_m_002_004
99616,lewis_e_m_002_005
132961,lewis_e_m_002_006
76213,lewis_e_m_002_007
301623,lewis_e_m_002_008
116197,lewis_e_m_002_009
108492,lewis_e_m_002_010
94909,lewis_e_m_002_011
127504,lewis_e_m_002_012
140978,lewis_e_m_002_013
136398,lewis_e_m_002_014
20975,lewis_e_m_003_001
22017,lewis_e_m_003_002
21341,lewis_e_m_003_003
22118,lewis_e_m_003_004
31497,lewis_e_m_003_005
32557,lewis_e_m_003_006
33060,lewis_e_m_003_007
33782,lewis_e_m_003_008
24056,lewis_e_m_003_009
32155,lewis_e_m_003_010
32173,lewis_e_m_003_011
24861,lewis_e_m_003_012
30034,lewis_e_m_003_013
33462,lewis_e_m_003_014
31926,lewis_e_m_003_015
24870,lewis_e_m_003_016
25775,lewis_e_m_003_017
31643,lewis_e_m_003_018
34129,lewis_e_m_003_019
32685,lewis_e_m_003_020
33617,lewis_e_m_003_021
33270,lewis_e_m_003_022
25820,lewis_e_m_003_023
24669,lewis_e_m_003_024
32356,lewis_e_m_003_025
32182,lewis_e_m_003_026
32055,lewis_e_m_003_027
31853,lewis_e_m_003_028
205986,lewis_e_m_004_001
200126,lewis_e_m_004_002
74817,lewis_e_m_004_003
220311,lewis_e_m_004_004
242687,lewis_e_m_004_005
200520,lewis_e_m_004_006
111407,lewis_e_m_004_007
111179,lewis_e_m_004_008
104900,lewis_e_m_004_009
67478,lewis_e_m_004_010
222868,lewis_e_m_004_011
84982,lewis_e_m_004_012
267904,lewis_e_m_004_013
74863,lewis_e_m_004_014
81015,lewis_e_m_005_001
86599,lewis_e_m_005_002
81170,lewis_e_m_005_003
89086,lewis_e_m_005_004
130959,lewis_e_m_005_005
101261,lewis_e_m_005_006
70353,lewis_e_m_005_007
228400,lewis_e_m_005_008
76307,lewis_e_m_005_009
150562,lewis_e_m_005_010
21619,lewis_e_m_005_011
27552,lewis_e_m_005_012
208405,lewis_e_m_005_013
117322,lewis_e_m_005_014
125813,lewis_e_m_005_015
228411,lewis_e_m_005_016
146690,lewis_e_m_005_017
231168,lewis_e_m_005_018
115009,lewis_e_m_005_019
112943,lewis_e_m_005_020
133409,lewis_e_m_005_021
72999,lewis_e_m_005_021a
153921,lewis_e_m_005_022
157649,lewis_e_m_005_023
167394,lewis_e_m_005_024
167330,lewis_e_m_005_025
172110,lewis_e_m_005_026
62826,lewis_e_m_005_027
121681,lewis_e_m_006_001
132331,lewis_e_m_006_002
96033,lewis_e_m_006_003
120173,lewis_e_m_006_004
123062,lewis_e_m_006_005
85704,lewis_e_m_006_006
107258,lewis_e_m_006_007
226406,lewis_e_m_007_001
118657,lewis_e_m_007_002
119606,lewis_e_m_007_003
87821,lewis_e_m_007_004
12128,lewis_e_m_007_005
95545,lewis_e_m_007_006a-l
177868,lewis_e_m_007_007a-j
176662,lewis_e_m_007_008
188079,lewis_e_m_007_009
183106,lewis_e_m_007_010
183188,lewis_e_m_007_011
28566,lewis_e_m_008_001
27871,lewis_e_m_008_002
23831,lewis_e_m_008_003
23776,lewis_e_m_008_004
41482,lewis_e_m_008_005
45531,lewis_e_m_008_006
145401,lewis_e_m_008_007
145338,lewis_e_m_008_008
182412,lewis_e_m_008_009
106499,lewis_e_m_008_010
163975,lewis_e_m_008_011
207905,lewis_e_m_008_012
182539,lewis_e_m_008_013a-d
184385,lewis_e_m_008_014a-d
183142,lewis_e_m_008_015a-d
137936,lewis_e_m_008_016a-c
140450,lewis_e_m_008_017a-c
137698,lewis_e_m_008_018a-c
110895,lewis_e_m_008_019
116938,lewis_e_m_008_020
124505,lewis_e_m_008_021
53338,lewis_e_m_008_022
119488,lewis_e_m_008_023
118016,lewis_e_m_008_024
122459,lewis_e_m_009_001
100082,lewis_e_m_009_002
40221,lewis_e_m_009_003
49068,lewis_e_m_009_004
44562,lewis_e_m_009_005
52807,lewis_e_m_009_006
136836,lewis_e_m_009_006a
90192,lewis_e_m_009_007
104954,lewis_e_m_009_008
104835,lewis_e_m_009_008a
89461,lewis_e_m_009_008b
88245,lewis_e_m_009_008c
132842,lewis_e_m_009_009
88885,lewis_e_m_009_010
81271,lewis_e_m_009_011
75000,lewis_e_m_009_012
95960,lewis_e_m_009_013
105557,lewis_e_m_009_014
57487,lewis_e_m_009_014a
111479,lewis_e_m_009_015
41070,lewis_e_m_009_016a
62075,lewis_e_m_009_016a-d
114634,lewis_e_m_009_016b
36975,lewis_e_m_009_017
36646,lewis_e_m_009_017a
29068,lewis_e_m_009_018
35284,lewis_e_m_009_019
30659,lewis_e_m_009_020
30285,lewis_e_m_009_021
32341,lewis_e_m_009_022
28932,lewis_e_m_009_023
28073,lewis_e_m_009_024
30093,lewis_e_m_009_025
32295,lewis_e_m_009_026
95704,lewis_e_m_009_027
112267,lewis_e_m_010_001
96828,lewis_e_m_010_002
79361,lewis_e_m_010_003
96161,lewis_e_m_010_004
102724,lewis_e_m_010_004a
112879,lewis_e_m_010_004b
84964,lewis_e_m_010_005
50275,lewis_e_m_010_006
21381,lewis_e_m_010_007
86313,lewis_e_m_010_008
48977,lewis_e_m_010_009
32679,lewis_e_m_010_010
42816,lewis_e_m_010_011
42689,lewis_e_m_010_012
104086,lewis_e_m_010_013
33063,lewis_e_m_011_001
29636,lewis_e_m_011_001a
99899,lewis_e_m_011_002
101142,lewis_e_m_011_003
104405,lewis_e_m_011_004
103172,lewis_e_m_011_005
104635,lewis_e_m_011_006
104726,lewis_e_m_011_007
103939,lewis_e_m_011_008
103482,lewis_e_m_011_009
106791,lewis_e_m_011_010
104753,lewis_e_m_011_010a
104250,lewis_e_m_011_010b
48959,lewis_e_m_011_011
57835,lewis_e_m_011_012
58264,lewis_e_m_011_013
31948,lewis_e_m_011_014
28567,lewis_e_m_011_015a
33520,lewis_e_m_011_015b
89826,lewis_e_m_011_016
105347,lewis_e_m_011_017
105054,lewis_e_m_011_018
154057,lewis_e_m_011_019
162037,lewis_e_m_011_020
162869,lewis_e_m_011_021
161991,lewis_e_m_011_022
93647,lewis_e_m_011_023
135539,lewis_e_m_011_024
31839,lewis_e_m_011_025
32670,lewis_e_m_011_026
135731,lewis_e_m_011_027
41263,lewis_e_m_011_028
28365,lewis_e_m_011_029
129743,lewis_e_m_012_001
149785,lewis_e_m_012_002
23977,lewis_e_m_012_003
29873,lewis_e_m_012_004
55101,lewis_e_m_012_005
63328,lewis_e_m_012_006
36482,lewis_e_m_012_007
39342,lewis_e_m_012_008
39772,lewis_e_m_012_009
35184,lewis_e_m_012_010
57185,lewis_e_m_012_011
31720,lewis_e_m_012_012
31116,lewis_e_m_012_013
38557,lewis_e_m_012_014
41070,lewis_e_m_012_015
19285,lewis_e_m_012_016
39041,lewis_e_m_012_017
39818,lewis_e_m_012_018
29865,lewis_e_m_012_019
53026,lewis_e_m_012_020
29982,lewis_e_m_012_021
37423,lewis_e_m_012_022
19559,lewis_e_m_012_023
43091,lewis_e_m_012_024
39955,lewis_e_m_012_025
37926,lewis_e_m_013_001
35631,lewis_e_m_013_002
40988,lewis_e_m_013_003
38100,lewis_e_m_013_004
34068,lewis_e_m_013_005
41363,lewis_e_m_013_006
36683,lewis_e_m_013_007
39398,lewis_e_m_013_008
41490,lewis_e_m_013_009
40495,lewis_e_m_013_010
37871,lewis_e_m_013_011
35037,lewis_e_m_013_012
35504,lewis_e_m_013_013
34279,lewis_e_m_013_014
119360,lewis_e_m_013_015
31775,lewis_e_m_013_016
36774,lewis_e_m_013_017
39078,lewis_e_m_013_018
33886,lewis_e_m_013_019
44050,lewis_e_m_014_001
