size_kb,folder
903,html
90339024,J2_16_10
3723575,MC_1008_23_4
6924398,MC_950
1336527,MC_968_11_4_v01
1196123,MC_968_11_4_v02
1201255,MC_968_11_4_v03
2113535,MC_975_01_003
3323791,MC_975_01_078
129548787,Rendel_Harris_1
8220556,Rendel_Harris_42
36979706,Rendel_Harris_43
43468105,Rendel_Harris_44
2603253,Rendel_Harris_44a
3989500,Rendel_Harris_44b
7166999,Rendel_Harris_45
9545340,Rendel_Harris_47a
2954509,Rendel_Harris_47b
