size_kb,folder
490868,1996_009_00_0001
4427171,1996_009_00_0002
160901,2004_003_00_0001
265253,2010_111_01_0001
265290,2010_111_02_0001
265299,2010_111_03_0001
265135,2010_111_04_0001
105,html
